time,2003/1/6,2003/1/7,2003/1/8,2003/1/9,2003/1/10,2003/1/11,2003/1/12,2003/1/13,2003/1/14,2003/1/15,2003/1/16,2003/1/17,2003/1/18,2003/1/19,2003/1/20,2003/1/21,2003/1/22,2003/1/23,2003/1/24,2003/1/25,2003/1/26,2003/1/27,2003/1/28,2003/1/29,2003/1/30
0,287,281,283,281,279,278,277,269,276,282,277,279,278,277,275,278,276,281,279,277,349,267,274,274,263
1,284,279,278,275,277,281,272,265,276,275,273,275,272,271,271,273,274,277,274,274,355,266,270,268,261
2,280,277,278,273,278,280,273,264,274,272,276,271,270,268,270,273,271,274,271,269,363,265,264,264,256
3,285,284,281,277,280,281,276,268,279,279,280,276,275,272,275,276,274,277,276,272,375,267,268,266,261
4,305,307,296,298,300,299,293,291,301,298,293,294,296,297,292,299,291,296,299,295,422,285,281,285,276
5,329,326,317,319,324,321,310,312,318,322,319,318,314,316,324,319,315,319,319,314,434,306,306,307,298
6,360,359,352,352,349,342,336,346,349,349,344,345,345,337,343,348,347,347,350,345,419,335,330,331,328
7,369,368,362,356,362,352,343,353,359,359,358,353,348,350,356,361,360,359,359,347,406,348,344,343,341
8,377,377,365,368,370,353,349,360,368,370,366,360,357,352,364,376,369,369,357,344,382,353,350,347,340
9,383,381,375,372,375,352,349,367,369,370,375,364,358,354,371,376,368,369,363,351,356,353,353,354,334
10,391,392,380,385,385,364,354,377,377,384,384,373,363,360,374,380,377,378,370,355,322,362,357,356,337
11,379,379,368,375,371,353,346,366,369,371,370,357,354,348,363,369,360,368,359,346,291,354,350,347,329
12,367,363,353,353,356,342,330,352,350,355,355,344,342,336,349,353,351,349,353,334,279,343,339,336,321
13,372,364,354,360,361,348,331,353,357,360,361,350,345,336,354,345,351,353,348,335,272,347,343,334,315
14,370,372,359,366,361,351,333,357,360,361,363,352,345,341,358,359,338,354,345,336,274,348,341,334,317
15,385,386,375,379,365,362,342,368,369,372,378,364,357,353,370,361,371,365,364,349,279,354,349,345,324
16,434,426,422,423,408,401,390,410,413,416,421,406,402,395,407,409,412,402,398,389,295,392,389,381,357
17,446,444,435,440,430,421,410,435,434,435,428,437,424,418,431,434,434,432,427,413,321,426,422,419,403
